1000.png,Y,1,
1001.png,N,0,
1002.png,Y,0,
1003.png,N,1,
1004.png,Y,0,
1005.png,Y,1,
1006.png,N,0,
1007.png,Y,0,
1008.png,Y,0,
1009.png,Noise,0,
1010.png,N,0,
1011.png,Y,1,
1012.png,Y,1,
1013.png,N,0,
1014.png,Y,0,
1015.png,N,1,
1016.png,N,0,
1017.png,Y,0,
1018.png,Y,,
1019.png,N,,
1020.png,N,,
1021.png,N,,
1022.png,N,,
1023.png,Y,,
1024.png,Y,,
1025.png,N,,
1026.png,N,,
1027.png,N,,
1028.png,Y,,
1029.png,N,,
1030.png,Y,,
1031.png,N,,
1032.png,Y,,
1033.png,Y,,
1034.png,N,,
1035.png,Y,,
1036.png,Y,,
1037.png,N,,
1038.png,N,,
1039.png,Y,,
1040.png,Y,,
1041.png,N,,
1042.png,N,,
1043.png,Y,,
1044.png,N,,
1045.png,N,,
1046.png,N,,
1047.png,N,,
1048.png,Y,,
1049.png,N,,
1050.png,Y,,
1051.png,N,,
1052.png,Y,,
1053.png,N,,
1054.png,Y,,
1055.png,Y,,
1056.png,Noise,,
1057.png,N,,
1058.png,N,,
1059.png,N,,
1060.png,Y,,
1061.png,N,,
1062.png,Y,,
1063.png,Y,,
1064.png,N,,
1065.png,N,,
1066.png,N,,
1067.png,N,,
1068.png,N,,
1069.png,N,,
1070.png,N,,
1071.png,Y,,
1072.png,Y,,
1073.png,N,,
1074.png,N,,
1075.png,Y,,
1076.png,Y,,
1077.png,N,,
1078.png,Y,,
1079.png,N,,
1080.png,Y,,
1081.png,N,,
1082.png,N,,
1083.png,N,,
1084.png,N,,
1085.png,N,,
1086.png,Y,,
1087.png,N,,
1088.png,N,,
1089.png,N,,
1090.png,Y,,
1091.png,N,,
1092.png,N,,
1093.png,N,,
1094.png,N,,
1095.png,N,,
1096.png,Y,,
1097.png,Y,,
1098.png,N,,
1099.png,N,,
1100.png,N,,
1101.png,N,,
1102.png,Y,,
1103.png,N,,
1104.png,,,
