testLocation,ppt,MeanLLM,MeanSLM,stdLLM,stdSLM,nSettings,LogAxisRatio,AxisRatioNormed,EllipseAngleUnnormed,timestart,CL,testSeason,age,birthLocation,birthNumber,birthSeason
1,017o,0.695315861831408,1.07415664009888,0.00393561234149543,0.16399242171165,35,0.395763381381812,2.48750167227733,90.9925939299071,14-Sep-2021 15:02:55,0.772677267726773,2,25,0,9,2
0,017t,0.699666630189466,0.936550697088202,0.00621192867073946,0.172613311941354,29,0.115359655874511,1.30424642770223,90.5358057437181,21-Sep-2021 15:40:27,0.797779777977798,2,24.3333333333333,0,5,1
1,018o,0.69118558712191,1.23355597493213,0.0114156000447684,0.283329757998674,52,0.26930810474164,1.85912291865487,91.2736746218003,14-Sep-2021 18:07:12,0.745874587458746,2,20.75,0,1,3
0,018t,0.693581073713855,1.17976682711374,0.00658893390721443,0.16151118355702,68,0.266003989192406,1.84503236656336,91.2772316997972,22-Sep-2021 10:04:48,0.757475747574757,2,25.3333333333333,0,5,1
1,019o,0.707343147836024,1.08308116047207,0.00650965811120475,0.126898980657405,23,0.195741241951131,1.56942744133949,91.2442373416576,15-Sep-2021 07:06:22,0.802880288028803,2,22.1666666666667,0,7,1
0,019t,0.690330484097953,1.17239843595703,0.00482477539603203,0.114760755436495,38,0.309154228704256,2.03776561015821,91.4751190502969,22-Sep-2021 14:02:47,0.74977497749775,2,26.75,0,12,3
1,020o,0.697387316174062,1.20182208958694,0.0067645075123524,0.136948599926222,37,0.409454941391746,2.56717184692444,92.085793918856,15-Sep-2021 10:01:47,0.765076507650765,2,22.3333333333333,0,5,1
0,020t,0.696783562744268,1.18445124887838,0.00816481089976737,0.203475042592254,54,0.369986947122619,2.34415835973569,91.5920727756096,23-Sep-2021 09:05:20,0.765276527652765,2,23.5,0,3,4
1,021o,0.689706053231885,1.32428959651806,0.00674600943962248,0.172429753398762,57,0.246655076161032,1.76463576117041,91.1529824168855,15-Sep-2021 14:14:55,0.732873287328733,2,22.8333333333333,0,11,3
0,021t,0.691780783006974,1.18591058451154,0.00405637952956941,0.14104708068286,66,0.211466116700027,1.62729435051628,90.7448580437636,23-Sep-2021 14:03:37,0.752175217521752,2,22.75,0,12,3
1,022o,0.686701380670403,1.05874824131574,0.00660687633378201,0.149639450215029,56,0.187743690441098,1.54079084898738,91.031765006143,15-Sep-2021 17:10:55,0.751875187518752,2,30,0,7,1
0,022t,0.691075662127946,1.35772618217695,0.00967594873895019,0.250497294779547,44,0.227410764681932,1.68814895665277,91.0645204181318,24-Sep-2021 10:13:16,0.733073307330733,2,22.8333333333333,0,11,3
1,023o,0.690157332870399,1.16216036020192,0.00407753410368679,0.134198871949703,35,0.294758455797529,1.97132602677958,91.0288128538648,16-Sep-2021 07:09:27,0.75037503750375,2,23.25,1,6,1
