testing season (1 = summer),pCode,Gender (0 = female),testing location,arctic circle (0 = below 1 = above 2 = unclassified)
1,109t,1,Tromso,1
1,117o,0,Oslo,0
1,110t,0,Tromso,1
1,118o,1,Oslo,0
1,111t,1,Tromso,1
1,112t,1,Tromso,1
1,119o,1,Oslo,2
1,120o,0,Oslo,0
1,113t,0,Tromso,1
1,121o,0,Oslo,0
1,122o,1,Oslo,0
1,114t,1,Tromso,1
1,115t,0,Tromso,1
1,123o,0,Oslo,0
1,124o,0,Oslo,0
1,116t,0,Tromso,1
1,125o,1,Oslo,0
1,117t,1,Tromso,1
1,118t,1,Tromso,0
1,119t,1,Tromso,1
1,126o,0,Oslo,0
1,120t,1,Tromso,0
1,121t,1,Tromso,1
1,122t,0,Tromso,0
1,123t,1,Tromso,1
1,127o,0,Oslo,1
1,124t,0,Tromso,1
1,125t,1,Tromso,1
1,128o,0,Oslo,0
1,126t,1,Tromso,1
1,127t,1,Tromso,1
1,128t,0,Tromso,1
1,129o,0,Oslo,1
1,129t,0,Tromso,1
1,130t,1,Tromso,1
1,131t,1,Tromso,1
1,130o,1,Oslo,0
1,131o,0,Oslo,0
1,132o,0,Oslo,0
1,132t,1,Tromso,1
1,133t,1,Tromso,0
1,134t,0,Tromso,1
1,135t,0,Tromso,0
1,136t,0,Tromso,0
1,137t,1,Tromso,1
1,138t,1,Tromso,0
1,139t,0,Tromso,1
1,140t,1,Tromso,1
3,133o,1,Oslo,0
3,134o,0,Oslo,0
3,135o,1,Oslo,0
3,136o,1,Oslo,0
3,137o,1,Oslo,0
3,138o,0,Oslo,0
3,139o,0,Oslo,1
3,140o,0,Oslo,0
3,141o,0,Oslo,0
3,142o,1,Oslo,0
3,143o,0,Oslo,0
3,144o,0,Oslo,0
3,145o,1,Oslo,0
3,146o,1,Oslo,0
3,147o,0,Oslo,0
3,148o,1,Oslo,1
3,149o,0,Oslo,0
3,150o,0,Oslo,0
3,151o,0,Oslo,0
3,152o,1,Oslo,0
3,153o,0,Oslo,0
3,154o,0,Oslo,0
3,155o,0,Oslo,0
3,156o,0,Oslo,0
3,157o,1,Oslo,0
3,158o,1,Oslo,0
3,141t,0,Tromso,0
3,142t,1,Tromso,1
3,143t,0,Tromso,0
3,144t,0,Tromso,0
3,145t,0,Tromso,0
3,146t,0,Tromso,0
3,147t,0,Tromso,0
3,148t,0,Tromso,0
3,149t,0,Tromso,0
3,150t,0,Tromso,0
3,151t,1,Tromso,0
3,152t,0,Tromso,1
3,153t,0,Tromso,0
3,154t,0,Tromso,0
3,155t,0,Tromso,1
3,156t,1,Tromso,1
3,157t,0,Tromso,1
3,158t,0,Tromso,1
3,159t,0,Tromso,1
3,160t,0,Tromso,1
3,161t,0,Tromso,1
3,162t,1,Tromso,1
3,163t,0,Tromso,1
3,164t,0,Tromso,1
3,165t,0,Tromso,1
